CO2,PIR_TRIGGER,LABEL
5.96E-01,0.00E+00,0.00E+00
5.92E-01,0.00E+00,0.00E+00
5.90E-01,5.26E-02,4.00E+00
5.89E-01,0.00E+00,0.00E+00
5.88E-01,5.26E-02,4.00E+00
5.90E-01,2.11E-01,4.00E+00
5.96E-01,5.26E-02,4.00E+00
5.94E-01,0.00E+00,0.00E+00
5.94E-01,5.26E-02,4.00E+00
5.89E-01,5.26E-02,4.00E+00
5.85E-01,5.26E-02,4.00E+00
5.83E-01,0.00E+00,3.00E+00
6.21E-01,4.21E-01,4.00E+00
5.93E-01,5.26E-02,4.00E+00
5.88E-01,2.63E-01,4.00E+00
5.87E-01,1.05E-01,4.00E+00
5.79E-01,1.05E-01,4.00E+00
5.75E-01,2.11E-01,4.00E+00
5.72E-01,0.00E+00,3.00E+00
5.69E-01,1.58E-01,4.00E+00
5.73E-01,0.00E+00,3.00E+00
5.64E-01,0.00E+00,3.00E+00
5.63E-01,1.58E-01,4.00E+00
5.60E-01,1.58E-01,4.00E+00
5.60E-01,5.26E-02,4.00E+00
5.51E-01,0.00E+00,3.00E+00
5.54E-01,5.26E-02,3.00E+00
5.59E-01,5.26E-02,3.00E+00
5.55E-01,0.00E+00,3.00E+00
5.56E-01,1.05E-01,4.00E+00
5.60E-01,0.00E+00,3.00E+00
5.61E-01,1.58E-01,4.00E+00
5.55E-01,5.26E-02,3.00E+00
5.52E-01,0.00E+00,3.00E+00
5.54E-01,0.00E+00,3.00E+00
5.46E-01,1.05E-01,4.00E+00
5.51E-01,5.26E-02,3.00E+00
5.52E-01,0.00E+00,3.00E+00
5.48E-01,5.26E-02,3.00E+00
5.55E-01,5.26E-02,3.00E+00
5.52E-01,5.26E-02,3.00E+00
5.56E-01,5.26E-02,3.00E+00
5.59E-01,5.26E-02,3.00E+00
5.46E-01,5.26E-02,3.00E+00
5.55E-01,0.00E+00,3.00E+00
5.59E-01,5.26E-02,3.00E+00
5.60E-01,0.00E+00,3.00E+00
5.64E-01,5.26E-02,4.00E+00
5.65E-01,0.00E+00,3.00E+00
5.64E-01,0.00E+00,3.00E+00
5.63E-01,1.58E-01,4.00E+00
5.68E-01,0.00E+00,3.00E+00
5.65E-01,5.26E-02,4.00E+00
5.69E-01,0.00E+00,3.00E+00
5.80E-01,0.00E+00,3.00E+00
5.79E-01,5.26E-02,4.00E+00
5.83E-01,0.00E+00,3.00E+00
5.80E-01,5.26E-02,4.00E+00
5.76E-01,0.00E+00,3.00E+00
5.76E-01,0.00E+00,3.00E+00
5.75E-01,0.00E+00,3.00E+00
5.77E-01,0.00E+00,3.00E+00
5.79E-01,0.00E+00,3.00E+00
5.75E-01,0.00E+00,3.00E+00
5.76E-01,5.26E-02,4.00E+00
5.80E-01,0.00E+00,3.00E+00
